variable_name,source_code,question_or_derivation,cleaned_label_en,response_type,coding,missing_completed_n,missing_completed_pct,unique_nonmissing_values,analysis_role,theoretical_construct,public_release_status,notes
case_id,metadata/derived,Anonymised administrative/sample variable,case id,text/categorical,categorical label retained or redacted free text,0,0.0,212,identifier replacement,sample definition / anonymised metadata,safe after anonymisation,
response_status,metadata/derived,Anonymised administrative/sample variable,response status,text/categorical,categorical label retained or redacted free text,0,0.0,1,source/cleaned variable,sample definition / anonymised metadata,safe after anonymisation,
lastpage,metadata/derived,Anonymised administrative/sample variable,lastpage,numeric,numeric as recorded or derived,0,0.0,1,source/cleaned variable,sample definition / anonymised metadata,safe after anonymisation,
completion_month,metadata/derived,Anonymised administrative/sample variable,completion month,text/categorical,categorical label retained or redacted free text,0,0.0,1,source/cleaned variable,sample definition / anonymised metadata,safe after anonymisation,
survey_duration_seconds,metadata/derived,Anonymised administrative/sample variable,survey duration seconds,numeric,numeric as recorded or derived,0,0.0,212,source/cleaned variable,sample definition / anonymised metadata,internal derived only,
survey_duration_minutes,metadata/derived,Anonymised administrative/sample variable,survey duration minutes,numeric,numeric as recorded or derived,0,0.0,198,source/cleaned variable,sample definition / anonymised metadata,internal derived only,
duration_quality_flag,metadata/derived,Anonymised administrative/sample variable,duration quality flag,text/categorical,categorical label retained or redacted free text,0,0.0,1,source/cleaned variable,sample definition / anonymised metadata,safe after anonymisation,
firm_size_label,metadata/derived,Anonymised administrative/sample variable,firm size label,text/categorical,categorical label retained or redacted free text,1,0.47,4,sample flag,sample definition / anonymised metadata,safe after anonymisation,
firm_size_category,metadata/derived,Anonymised administrative/sample variable,firm size category,text/categorical,categorical label retained or redacted free text,1,0.47,4,sample flag,sample definition / anonymised metadata,safe after anonymisation,
firm_size_order,metadata/derived,Anonymised administrative/sample variable,firm size order,numeric,numeric as recorded or derived,1,0.47,4,source/cleaned variable,sample definition / anonymised metadata,safe after anonymisation,
is_sme,metadata/derived,Anonymised administrative/sample variable,is sme,binary 0/1,1=yes/selected/true; 0=no/not selected/false,1,0.47,2,sample flag,sample definition / anonymised metadata,safe after anonymisation,
ai_familiarity_label,G02Q04,Cât de familiarizat sunteți cu aplicațiile AI în afaceri?,ai familiarity label,text/categorical,categorical label retained or redacted free text,0,0.0,5,source/cleaned variable,AI familiarity and adoption-readiness,safe after anonymisation,
ai_familiarity_order,G02Q04,Cât de familiarizat sunteți cu aplicațiile AI în afaceri?,ai familiarity order,numeric,numeric as recorded or derived,0,0.0,5,source/cleaned variable,AI familiarity and adoption-readiness,safe after anonymisation,
ai_active_use,G02Q04,Cât de familiarizat sunteți cu aplicațiile AI în afaceri?,ai active use,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,derived analysis variable,AI familiarity and adoption-readiness,safe after anonymisation,
ai_project_planning_or_deployment,G02Q04,Cât de familiarizat sunteți cu aplicațiile AI în afaceri?,ai project planning or deployment,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,AI familiarity and adoption-readiness,safe after anonymisation,
ai_familiar_no_use,G02Q04,Cât de familiarizat sunteți cu aplicațiile AI în afaceri?,ai familiar no use,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,AI familiarity and adoption-readiness,safe after anonymisation,
ai_awareness_any,G02Q04,Cât de familiarizat sunteți cu aplicațiile AI în afaceri?,ai awareness any,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,AI familiarity and adoption-readiness,safe after anonymisation,
ai_at_least_familiar,G02Q04,Cât de familiarizat sunteți cu aplicațiile AI în afaceri?,ai at least familiar,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,AI familiarity and adoption-readiness,safe after anonymisation,
job_impact_expectation_label,G01Q07,Cum credeți că AI va afecta dinamica locurilor de muncă în domeniul dvs.?,job impact expectation label,text/categorical,categorical label retained or redacted free text,0,0.0,4,source/cleaned variable,workforce impact expectations,safe after anonymisation,
ai_growth_view_label,G05Q10,"Credeți că AI ar putea duce la o creștere economică explozivă, depășind limitele tradiționale (max 12% GDP)?",ai growth view label,text/categorical,categorical label retained or redacted free text,0,0.0,5,source/cleaned variable,macroeconomic expectation,safe after anonymisation,
regulation_view_label,G06Q11,Credeți că AI ar trebui să fie mai bine reglementată pentru a preveni riscurile economice și etice?,regulation view label,text/categorical,categorical label retained or redacted free text,0,0.0,4,source/cleaned variable,responsible AI and regulatory attitudes,safe after anonymisation,
ethical_concern_primary_label,G01Q12,Care este cea mai mare îngrijorare legată de etică în privința utilizării AI în afaceri?,ethical concern primary label,text/categorical,categorical label retained or redacted free text,0,0.0,5,source/cleaned variable,responsible AI and ethical concerns,safe after anonymisation,
romania_ai_competitiveness_label,G01Q13,Cât de competitivă credeți că este România în adoptarea AI comparativ cu alte țări europene?,romania ai competitiveness label,text/categorical,categorical label retained or redacted free text,0,0.0,4,source/cleaned variable,environment / national competitiveness,safe after anonymisation,
romania_global_ai_positioning_label,G07Q14,Cum ar trebui să se poziționeze România pe piața globală AI?,romania global ai positioning label,text/categorical,categorical label retained or redacted free text,0,0.0,4,source/cleaned variable,environment / national strategy preference,safe after anonymisation,
environmental_impact_view_label,G08Q15,Cum evaluați impactul tehnologiilor AI adoptate de compania dvs (sau în curs de adoptare) asupra mediului?,environmental impact view label,text/categorical,categorical label retained or redacted free text,0,0.0,4,source/cleaned variable,sustainability and externalities,safe after anonymisation,
government_support_role_label,G01Q16,Ce rol credeți că ar trebui să aibă stimulentele și sprijinul guvernamental în accelerarea adoptării AI în domeniul dvs.?,government support role label,text/categorical,categorical label retained or redacted free text,0,0.0,4,source/cleaned variable,environment / public support,safe after anonymisation,
business_model_change_expectation_label,G01Q17,Cum credeți că se va schimba modelul de afaceri al companiei dvs. pe măsură ce integrarea AI se va accentua în următorii cinci ani?,business model change expectation label,text/categorical,categorical label retained or redacted free text,0,0.0,3,source/cleaned variable,strategic transformation expectation,safe after anonymisation,
roi_measurement_strategy_label,G01Q19,Cum intenționați să măsurați rentabilitatea investiției (ROI) pentru proiectele dvs. legate de AI?,roi measurement strategy label,text/categorical,categorical label retained or redacted free text,0,0.0,4,source/cleaned variable,measurement capability / organisational readiness,safe after anonymisation,
sector_productie,G01Q02[SQ001],În ce domeniu activează compania dvs.? [Producție],sector productie,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,environment / sectoral context,safe after anonymisation,
sector_retail_and_comert_electronic,G01Q02[SQ002],În ce domeniu activează compania dvs.? [Retail & Comerț electronic],sector retail and comert electronic,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,environment / sectoral context,safe after anonymisation,
sector_finante_and_banci,G01Q02[SQ003],În ce domeniu activează compania dvs.? [Finanțe & Bănci],sector finante and banci,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,environment / sectoral context,safe after anonymisation,
sector_sanatate_and_industria_farmaceutica,G01Q02[SQ004],În ce domeniu activează compania dvs.? [Sănătate & Industria farmaceutică],sector sanatate and industria farmaceutica,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,environment / sectoral context,safe after anonymisation,
sector_it_and_software,G01Q02[SQ005],În ce domeniu activează compania dvs.? [IT & Software],sector it and software,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,environment / sectoral context,safe after anonymisation,
sector_transport_and_logistica,G01Q02[SQ006],În ce domeniu activează compania dvs.? [Transport & Logistică],sector transport and logistica,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,environment / sectoral context,safe after anonymisation,
sector_agricultura,G01Q02[SQ007],În ce domeniu activează compania dvs.? [Agricultură],sector agricultura,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,environment / sectoral context,safe after anonymisation,
sector_energie,G01Q02[SQ008],În ce domeniu activează compania dvs.? [Energie],sector energie,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,environment / sectoral context,safe after anonymisation,
sector_altul_va_rugam_sa_specificati,G01Q02[SQ009],În ce domeniu activează compania dvs.? [Altul (vă rugăm să specificați)],sector altul va rugam sa specificati,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,environment / sectoral context,safe after anonymisation,
role_ceo_proprietar_de_afacere,G01Q03[SQ001],Care este rolul dvs. în companie? [CEO / Proprietar de afacere],role ceo proprietar de afacere,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,respondent role / informant position,safe after anonymisation,
role_manager_senior_director,G01Q03[SQ002],Care este rolul dvs. în companie? [Manager Senior / Director],role manager senior director,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,respondent role / informant position,safe after anonymisation,
role_specialist_it_ai,G01Q03[SQ003],Care este rolul dvs. în companie? [Specialist IT / AI],role specialist it ai,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,respondent role / informant position,safe after anonymisation,
role_hr_dezvoltare_resurse_umane,G01Q03[SQ004],Care este rolul dvs. în companie? [HR / Dezvoltare Resurse Umane],role hr dezvoltare resurse umane,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,respondent role / informant position,safe after anonymisation,
role_manager_de_operatiuni,G01Q03[SQ005],Care este rolul dvs. în companie? [Manager de Operațiuni],role manager de operatiuni,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,respondent role / informant position,safe after anonymisation,
role_altul_va_rugam_sa_specificati,G01Q03[SQ006],Care este rolul dvs. în companie? [Altul (vă rugăm să specificați)],role altul va rugam sa specificati,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,respondent role / informant position,safe after anonymisation,
motivation_reducerea_costurilor_and_imbunatatirea_eficie,G01Q05[SQ001],Care sunt principalele motive pentru care luați (ați luat) în considerare adoptarea unei soluții AI în compania dvs.? [Reducerea costurilor & îmbunătățirea eficienței],motivation reducerea costurilor and imbunatatirea eficie,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,technological and strategic drivers,safe after anonymisation,
motivation_avantaj_competitive_strategic,G01Q05[SQ002],Care sunt principalele motive pentru care luați (ați luat) în considerare adoptarea unei soluții AI în compania dvs.? [Avantaj competitive/strategic],motivation avantaj competitive strategic,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,technological and strategic drivers,safe after anonymisation,
motivation_experienta_imbunatatita_pentru_clienti_and_pe,G01Q05[SQ003],Care sunt principalele motive pentru care luați (ați luat) în considerare adoptarea unei soluții AI în compania dvs.? [Experiență îmbunătățită pentru clienți & personalizarea unor servicii],motivation experienta imbunatatita pentru clienti and pe,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,technological and strategic drivers,safe after anonymisation,
motivation_facilitarea_deciziilor_bazate_pe_date,G01Q05[SQ004],Care sunt principalele motive pentru care luați (ați luat) în considerare adoptarea unei soluții AI în compania dvs.? [Facilitarea deciziilor bazate pe date],motivation facilitarea deciziilor bazate pe date,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,technological and strategic drivers,safe after anonymisation,
motivation_altul_va_rugam_sa_specificati,G01Q05[SQ005],Care sunt principalele motive pentru care luați (ați luat) în considerare adoptarea unei soluții AI în compania dvs.? [Altul (vă rugăm să specificați)],motivation altul va rugam sa specificati,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,technological and strategic drivers,safe after anonymisation,
barrier_costuri_mari_de_implementare,G01Q06[SQ001],Care sunt (au fost) cele mai mari bariere în adoptarea AI în compania dvs.? [Costuri mari de implementare],barrier costuri mari de implementare,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,organisational and technological barriers,safe after anonymisation,
barrier_lipsa_expertizei_tehnice,G01Q06[SQ002],Care sunt (au fost) cele mai mari bariere în adoptarea AI în compania dvs.? [Lipsa expertizei tehnice],barrier lipsa expertizei tehnice,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,organisational and technological barriers,safe after anonymisation,
barrier_incertitudini_privind_impactul_ai,G01Q06[SQ003],Care sunt (au fost) cele mai mari bariere în adoptarea AI în compania dvs.? [Incertitudini privind impactul AI],barrier incertitudini privind impactul ai,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,organisational and technological barriers,safe after anonymisation,
barrier_ingrijorari_legate_de_reglementari_sau_etica,G01Q06[SQ004],Care sunt (au fost) cele mai mari bariere în adoptarea AI în compania dvs.? [Îngrijorări legate de reglementări sau etică],barrier ingrijorari legate de reglementari sau etica,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,organisational and technological barriers,safe after anonymisation,
barrier_rezistenta_din_partea_angajatilor,G01Q06[SQ005],Care sunt (au fost) cele mai mari bariere în adoptarea AI în compania dvs.? [Rezistență din partea angajaților],barrier rezistenta din partea angajatilor,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,organisational and technological barriers,safe after anonymisation,
barrier_nivelul_de_maturitate_al_noilor_tehnologii_es,G01Q06[SQ006],Care sunt (au fost) cele mai mari bariere în adoptarea AI în compania dvs.? [Nivelul de maturitate al noilor tehnologii este inca scazut],barrier nivelul de maturitate al noilor tehnologii es,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,organisational and technological barriers,safe after anonymisation,
upskilling_programe_interne_de_mentorat_instruire_in_uti,G04Q08[SQ001],Ce măsuri ia (ar lua) compania dvs. pentru a-și pregăti angajații pentru integrarea AI? [Programe (interne) de mentorat/instruire în utilizarea AI pentru angajați],upskilling programe interne de mentorat instruire in uti,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,organisational readiness / workforce capability,safe after anonymisation,
upskilling_nu_avem_inca_masuri_specifice,G04Q08[SQ003],Ce măsuri ia (ar lua) compania dvs. pentru a-și pregăti angajații pentru integrarea AI? [Nu avem încă măsuri specifice],upskilling nu avem inca masuri specifice,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,organisational readiness / workforce capability,safe after anonymisation,
upskilling_abonamente_suportate_de_angajator_pentru_unel,G04Q08[SQ006],"Ce măsuri ia (ar lua) compania dvs. pentru a-și pregăti angajații pentru integrarea AI? [Abonamente (suportate de angajator) pentru unelte specifice: general-purpose AI tools and coding assistants]",upskilling abonamente suportate de angajator pentru unel,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,organisational readiness / workforce capability,safe after anonymisation,
upskilling_decontarea_unor_certificari_cursuri_online_de,G04Q08[SQ007],Ce măsuri ia (ar lua) compania dvs. pentru a-și pregăti angajații pentru integrarea AI? [Decontarea unor certificări/cursuri online de instruire în utilizarea AI pentru angajați],upskilling decontarea unor certificari cursuri online de,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,organisational readiness / workforce capability,safe after anonymisation,
upskilling_angajarea_unor_consultanti_externi_pentru_cer,G04Q08[SQ008],Ce măsuri ia (ar lua) compania dvs. pentru a-și pregăti angajații pentru integrarea AI? [Angajarea unor consultanți externi pentru certificări/cursuri de instruire în utilizarea AI pentru angajați],upskilling angajarea unor consultanti externi pentru cer,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,organisational readiness / workforce capability,safe after anonymisation,
upskilling_parteneriate_cu_universitati_pentru_instruire,G04Q08[SQ009],Ce măsuri ia (ar lua) compania dvs. pentru a-și pregăti angajații pentru integrarea AI? [Parteneriate cu universități pentru instruirea angajaților în utilizarea AI],upskilling parteneriate cu universitati pentru instruire,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,organisational readiness / workforce capability,safe after anonymisation,
app_potential_automatizarea_proceselor,G05Q09[SQ001],În ce aplicații AI vedeți cel mai mare potențial pentru valoare adăugată în afaceri? [Automatizarea proceselor],app potential automatizarea proceselor,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,perceived application opportunities,safe after anonymisation,
app_potential_analize_si_prognoze_bazate_pe_ai,G05Q09[SQ002],În ce aplicații AI vedeți cel mai mare potențial pentru valoare adăugată în afaceri? [Analize și prognoze bazate pe AI],app potential analize si prognoze bazate pe ai,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,perceived application opportunities,safe after anonymisation,
app_potential_chatbot_uri_pentru_servicii_clienti,G05Q09[SQ003],În ce aplicații AI vedeți cel mai mare potențial pentru valoare adăugată în afaceri? [Chatbot-uri pentru servicii clienți],app potential chatbot uri pentru servicii clienti,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,perceived application opportunities,safe after anonymisation,
app_potential_securitate_cibernetica_bazata_pe_ai,G05Q09[SQ004],În ce aplicații AI vedeți cel mai mare potențial pentru valoare adăugată în afaceri? [Securitate cibernetică bazată pe AI],app potential securitate cibernetica bazata pe ai,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,perceived application opportunities,safe after anonymisation,
app_potential_marketing_imbunatatit_cu_ai,G05Q09[SQ005],În ce aplicații AI vedeți cel mai mare potențial pentru valoare adăugată în afaceri? [Marketing îmbunătățit cu AI],app potential marketing imbunatatit cu ai,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,perceived application opportunities,safe after anonymisation,
app_potential_altul_va_rugam_sa_specificati,G05Q09[SQ006],În ce aplicații AI vedeți cel mai mare potențial pentru valoare adăugată în afaceri? [Altul (vă rugăm să specificați)],app potential altul va rugam sa specificati,binary 0/1,1=yes/selected/true; 0=no/not selected/false,0,0.0,2,source/cleaned variable,perceived application opportunities,safe after anonymisation,
sector_selection_count,derived from multiple-response items,Count of selected options,sector selection count,numeric,numeric as recorded or derived,0,0.0,2,derived analysis variable,derived analytical construct,safe after anonymisation,
role_selection_count,derived from multiple-response items,Count of selected options,role selection count,numeric,numeric as recorded or derived,0,0.0,3,derived analysis variable,derived analytical construct,safe after anonymisation,
motivation_selection_count,derived from multiple-response items,Count of selected options,motivation selection count,numeric,numeric as recorded or derived,0,0.0,5,derived analysis variable,derived analytical construct,safe after anonymisation,
barrier_selection_count,derived from multiple-response items,Count of selected options,barrier selection count,numeric,numeric as recorded or derived,0,0.0,6,derived analysis variable,derived analytical construct,safe after anonymisation,
